Question id,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Generated Option,Truth
182,The first printing press was developed by,a. Marco Polo,b. Kitagawa Utamaro,c. Johannes Gutenberg,d. Erasmus,c,c,Right
183,Who among the following was the leader of Dalits?,a. Dr. B.R. Ambedkar,b. Jyotiba Phule,c. Mahatma Gandhi,d. Sitaram Raju,a,a,Right
184,Which of the following novels was too moralising?,a. Chandrakanta,b. Pariksha Guru,c. Padmarag,d. Indulekha,b,d,Wrong
185,Which European power first acquired control over Bombay?,a. Dutch,b. English,c. French,d. Portuguese,d,a,Wrong
186,Who among the following was known as ‘Frontier Gandhi’?,a. Mahatma Gandhi,b. Jawaharlal Nehru,c. Abdul Gaffar Khan,d. Bhagat Singh,c,c,Right
187,Which of the following did not take part in World War I?,a. England,b. Spain,c. Germany,d. France,b,b,Right
188,Who among the following set up the first jute Mill in Calcutta?,a. Dinshaw Petit,b. J N Tata,c. Seth Hukumchand,d. Dwarakanath Tagore,c,a,Wrong
189,Which one of the following is the main cause of land degradation in Punjab?,a. Intensive cultivation,b. Over-irrigation,c. Deforestation,d. Overgrazing,b,b,Right
190,Regions of ______ soils are intensively cultivated and densely populated,a. Balck,b. Red and yellow,c. Laterite,d. Alluvial,d,d,Right
191,Cropping season from November to May is called,a. Kharif,b. Rabi,c. Zaid,d. None of these,b,b,Right
192,“Temples of Modern India” Was the name given to dams by,a. Pt Jawaharlal Nehru,b. Mahatma Gandhi,c. Rabindranath Tagore,d. Subhas Chandra Bose,a,b,Wrong
193,Which one of the following describes a system of agriculture where a single crop is grown on a large area?,a. Shifting Agriculture,b. Horticulture,c. Plantation Agriculture,d. Intensive Agriculture,c,c,Right
194,Which mode of transportation reduces transhipment losses and delays?,"a. Railways
b. Roadways
c. Pipelines
d. Waterways

Answer: (c)
The pipeline transport helps in reducing the transhipment losses and delays. It allows for a continuous flow of goods with a minimum risk of accidents. It can be constructed in difficult terrains too, unlike roads or railway lines.",b. Roadways,c. Pipelines,d. Waterways,c,c,Right
195,Which movement has successfully resisted deforestation in the Himalayas?,a. Beej Bachao Andolan,b. Chipko Movement,c. Navdanya,d. Joint Forest Management,b,b,Right
196,The habitat of Lions in India is,a. Gir forest,b. Simlipal,c. Ranthambore,d. None of these,a,a,Right
197,The first Earth Summit was held at,a. Montreal,b. Rio-de-Janeiro,c. New York,d. London,b,b,Right
198,Which one of the following is a Kharif crop?,a. Paddy,b. Wheat,c. Watermelon,d. Gram,a,a,Right
199,The present structure of Panchayati Raj is based on the constitutional Amendment Act,a. 65th,b. 73rd,c. 74th,d. 76th,b,b,Right
200,A person who does not discriminate others on the basis of religious beliefs is,a. Feminist,b. Communist,c. Casteist,d. Secularist,d,d,Right
201,Number of Lok Sabha Members from Jharkhand is,a. 12,b. 13,c. 14,d. 15,c,b,Wrong
202,The Chairperson of a Municipal corporation is,a. Deputy Commissioner,b. Sarpanch,c. Mayor,d. MLA of the area,c,c,Right
203,Which is considered to be one of the most important attributes for comparing the development of countries?,a. Health and Education,b. Infrastructure,c. Per capita income,d. Growth of technology,c,a,Wrong
204,Which sector of the Indian economy has grown the most over thirty years?,a. Primary sector,b. Secondary sector,c. Tertiary sector,d. None of these,c,c,Right
205,Human Development Report is published by,a. UNDP,b. World Bank,c. Government of the country,d. Central bank of the country,a,a,Right
206,"In which of the following years, was the Consumer Protection Act passed?",a. 1989,b. 1980,c. 1985,d. 1986,d,a,Wrong
207,"1/81, 1/54, 1/36, 1/24, ?",a. 1/32,b. 1/9,c. 1/16,d. 1/18,c,b,Wrong
208,"30, 2, 20, 6, 12, 12, ?",a. 6,b. 8,c. 10,d. 15,a,c,Wrong
209,Which of the following means M is grandfather of W?,a. M – J ÷ W,b. M + J × W,c. M × T + W,d. M + J – W,d,d,Right
210,"If 283 is written as 328, 347 and 734 and so on, then which of the following two numbers will have the least difference between them?",a. 827 and 347,b. 347 and 518,c. 748 and 518,d. 518 and 829,c,b,Wrong
211,"How many such symbols are there in the arrangement, each of which is immediately preceded by a letter?",a. 1,b. 2,c. 3,d. 4,a,1,Wrong
212,"If all the numbers are deleted from the arrangement, which element will be 7th to the left of the 14th element from the left end?",a. %,b. H,c. @,d. C,a,c,Wrong
213,Odd one out:,a. FASTER,b. BIGGER,c. GREATER,d. LARGER,a,b,Wrong
214,Choose the most similar word in meaning in the words following: ROSE,a. Awake,b. Erected,c. Upright,d. Stood,d,c,Wrong
215,"Ram went 15 km  North of his house  After this, he turned West and walked a distance of 10 Km , after which he turned and walked a distance of 5 Km  South and finally he turned East and walked 10 Km  Now in which direction is he from his house?",a. EAST,b. WEST,c. NORTH,d. SOUTH,c,a. EAST,Wrong
216,"Looking at a picture, Radha reveals that his mother’s only daughter is my mother  How is Radha related to that person?",a. Nephew,b. Sister,c. Wife,d. Niece,d,d,Right
217,"If ‘-‘ means ‘×’, ‘×’ means ‘+’, ‘+’ means ‘÷’ and ‘÷’ means ‘-‘, then 40 × 12 + 3 – 6 ÷ 60 = ?",a. 7.95,b. 16,c. 4,d. 479.95,c,d,Wrong
218,‘ASTOUNDER’ word can be divided into how many independent words without changing the order of letters and using each letter only once?,a. 0,b. 1,c. 2,d. 3,d,c,Wrong
219,"If the day before Yesterday was Thursday, then when would it be Sunday?",a. Today,b. 2 days after Today,c. Tomorrow,d. Yesterday,c,b,Wrong
220,Museum is related to the curator in the same way as prison is related to _________,a. Manger,b. Monitor,c. Jailor,d. Warden,c,c,Right
221,"If 43 = 158, 35 = 824, 42 = 153, then 32 = ?",a. 84,b. 83,c. 85,d. 94,b,b,Right
222,"If (14)3 is added to the square of a number, the answer so obtained is 4425  What is the number?",a. 1849,b. 43,c. 41,d. 1681,c,a,Wrong
223,The ratio of the present ages of Ajay and Vijay is 7 : 6 and the product of their ages is 672 years  How old was Vijay 4 years ago?,a. 20 years,b. 18 years,c. 15 years,d. 25 years,a,c,Wrong
224,Find the time between 9:00 and 10:00 when the clock needles coincide:,a. \(\begin{array}{l}9 : 10\tfrac{9}{11}\end{array} \),b. \(\begin{array}{l}9 : 47\tfrac{10}{11}\end{array} \),c. \(\begin{array}{l}9 : 46\tfrac{4}{11}\end{array} \),d. \(\begin{array}{l}9 : 49\tfrac{1}{11}\end{array} \),d,c,Wrong
225,Find the time between 9 : 00 and 10:00 when the clock needles are in opposite direction,a. \(\begin{array}{l}9 : 10\tfrac{9}{11}\end{array} \),b. \(\begin{array}{l}9 : 16\tfrac{4}{11}\end{array} \),c. \(\begin{array}{l}9 : 11\tfrac{10}{11}\end{array} \),d. None,b,c,Wrong
226,If coding for ‘EXAMINATIONS’ is 1 2 3 4 5 6 3 7 5 8 6 9 then coding for ‘NOMINATION’:,a. 6 8 5 4 6 3 7 5 8 6,b. 6 8 4 5 6 3 7 5 8 6,c. 8 6 4 5 6 3 7 5 8 6,d. 6 8 4 5 6 3 5 7 8 6,b,b,Right
227,Which is the Odd one,a. 9 – 3,b. ½ – ⅛,c. ⅓ – 1/12,d. 24 – 6,a,d,Wrong
228,"If Suresh reached some place on Tuesday, he said that he has come 3 days before then on what day the man reached who was late by 4 days?",a. Monday,b. Tuesday,c. Wednesday,d. Thursday,b,d,Wrong
229,"If the words ‘INTIMATION’, INFORMATION, INTEREST, INTERROGATION, INSTIGATION’ are kept in order according to the dictionary, which will be the 4th letter from the left side in the last word?",a. R,b. O,c. T,d. I,d,b,Wrong
230,"Age of D is middle among five friends, K is the youngest  U is greater than N and N is smaller than A and D  Who is the biggest among them?",a. A,b. U,c. N,d. Things given are insufficient,d,a,Wrong
231,"If the English alphabet is written in reverse order, which will be the third letter to the right of the 15th letter from the left?",a. I,b. H,c. G,d. J,a,c,Wrong
232,"How many such 4 are there in the following number series, where 3 is immediately before and 2 is immediately after",a. 2,b. 3,c. 4,d. 5,b,c,Wrong
233,What will be the number of cubes with three faces painted in three different colours?,a. 0,b. 4,c. 8,d. None of these,c,c,Right
234,In a certain code language GARNISH is written as RGAINHS  What will GENIOUS be written in that code language?,a. NEGOISU,b. NGEOISU,c. NGESUOI,d. NEGSUOI,b,b,Right
235,"In a certain code language INKER is written as GLLGT and GLIDE is written as EJJFG, What will JINKS be written in that code language?",a. GFOMU,b. HGMMU,c. HGOGH,d. HGOMU,d,b,Wrong
236,"If U is denoted by 7, M by 2, I by 5, O by 1, K by 8 and J by 4, then what will be the numeric form of the word MOUJIK, when written in the reverse order?",a. 217458,b. 845712,c. 854712,d. 857412,c,b,Wrong
237,"If 20% of x = y, then y% of 20 is the same as:",a. 4% of x,b. 6% of y,c. 8% of x,d. 10% of x,a,c,Wrong
238,The sum of the first 12 terms of an AP  Whose nth term is given by an = 3n + 4 is:,a. 262,b. 272,c. 282,d. 292,c,a,Wrong
239,"Two goods trains each 500 m long, are running in opposite directions on parallel tracks  Their speeds are 45 km/hr and 30 km/hr respectively  Find the time taken by the slower train to pass the driver of the faster one:",a. 12 sec,b. 24 sec,c. 48 sec,d. 60 sec,b,c,Wrong
240,"The next term of the AP √18, √50, √98,…  is:",a. √146,b. √128,c. √162,d. √200,c,a,Wrong
241,"If (p + q)th term of an AP is m and (p – q)th term is n, then pth term is",a. mn,b. √mn,c. (m – n)/√2,d. (m + n)/2,d,a,Wrong
242,"If a flight of 600 km, an aircraft was slowed down due to bad weather  Its average speed for the trip was reduced by 200 km/hr and the time of flight increased by 30 minutes  The original duration of the flight is:",a. 1 hour,b. 2 hours,c. 3 hours,d. 4 hours,a,c,Wrong
243,A tower is observed from a point on the horizontal through the foot of the tower  The distance of this point from the foot of the tower is equal to the height of the tower  The angle of elevation on the top of the tower is:,a. 600,b. 450,c. 400,d. 300,b,b,Right
244,"There are 1400 students in a school, 25% of those wear spectacles and 2/7 of those wearing spectacles are boys  How many girls in the school wear spectacles?",a. 300,b. 100,c. 200,d. 250,d,c,Wrong
245,"P, Q and R jointly thought of engaging themselves in a business venture  It was agreed that P would invest Rs 6500 for 6 months, Q, Rs 8400 for 5 months and R, Rs 10000 for 3 months P wants to be the working member for which he was to receive 5% of the profits  The profit earned was Rs 7400  Calculate the share of Q in the profit",a. Rs 1900,b. Rs 2660,c. Rs 2800,d. Rs 2840,b,b,Right
246,"John cycling at a constant speed of 10 km/hr, reaches his school in time  If he cycles at a constant speed of 15 km/hr, he reaches his school in 12 minutes early  How many km he has to cycle for his school is?",a. 4,b. 6,c. 9,d. 12,b,c,Wrong
247,"If 7 sin α = 24: cos α :0 < 𝜋 </2, then the value of 14tan α -75 cos α -7 sec α is equal to",a. 3,b. 4,c. 1,d. 2,d,3,Wrong
248,"If x2 + 1/x2 = 98 (x > 0), then the value of x3 + 1/x3 is",a. 970,b. 1030,c. -970,d. -1030,a,b,Wrong
249,At present ages of a father and son are in the ratio of 7:3 and they will be in the present ratio 2:1 after 10 years  What is the present age of the father?,a. 70 years,b. 65 years,c. 60 years,d. 50 years,a,a,Right
250,The same relationship is applicable for the next terms to identify the suitable pair,a. Rectangle : Cuboid,b. Triangle : Square,c. Quadrilateral : Cuboid,d. Cuboid : Rectangle,a,a,Right
251,"A is B’s sister, C is B’s mother, D is C’s father, E is D’s mother  Then how is A related to D?",a. Grandfather,b. Grandmother,c. Daughter,d. Grand Daughter,d,b,Wrong
252,"Five plays – K, L, M, N and O are to be staged from Monday to Friday of a week  On each day only one play will be staged  O should be immediately followed by M  L should be staged immediately after N  One play is staged between K and L  N or O should not be the first or last play  Which is the second play to be staged?",a. M,b. O,c. N,d. K,c,b,Wrong
253,"In a town of 500 people  285 people, read ‘The Hindu’ and 212 people read ‘Indian Express’ and 127 people read ‘Times of India’  Only 20 people read ‘The Hindu’ and ‘Times of India’, only 29 people read ‘The Hindu’ and ‘Indian Express’ and only 35 people read ‘Times of India’ and ‘Indian Express’  50 people do not read newspaper  Then how many people read only one newspaper?",a. 123,b. 213,c. 312,d. 321,d,c,Wrong
254,"If – stands for ÷, + stands for x, ÷ stands for – and x stands for +, which of the following equations is correct?",a. 40 – 10 + 5 ÷ 4 x 5 = 21,b. 40 + 10 – 4 x 5 ÷ 3 = 80,c. 40 ÷ 10 – 4 x 5 + 3 = 32,d. 8 – 4 x 40 ÷ 2 + 15 = 30,a,c,Wrong
255,"P, Q, R, S, T, U, V and W are sitting around the circle and are facing the centre  P is second to the right of T who is neighbour of R and V  S is not the neighbour of P, V is neighbour of U  Q is not between S and W  W is not between U and S  Then who is sitting opposite to W?",a. S,b. Q,c. U,d. T,d,b,Wrong
256,Find the ratio in which rice at Rs 7 20 per kg is mixed with rice at Rs 5 70 per kg  to produce a mixture worth Rs 6 30 per kg?,a. 2:3,b. 1:3,c. 3:4,d. 4:5,a,1:3,Wrong
257,A pupil’s marks were wrongly entered as 83 instead of 63  Due to which the average marks for the class got increased by half  The number of pupils in the class is:,a. 45,b. 40,c. 39,d.37,b,c,Wrong
258,"A watch which gains 5 seconds in 3 minutes was set right at 7 am  In the afternoon of the same day when the watch indicated quarter past 4 O’clock, the true time is:",a. 9 pm,b. 7 pm,c. 4 pm,d. 5 pm,c,d,Wrong
259,A student multiplied a number by 3/5 instead of 5/3  What is the percentage error in the calculation?,a. 54%,b. 64%,c. 74%,d. 84%,b,c,Wrong
260,Two goods train each 390 m long are running in the same direction on parallel tracks  Their speeds are 42 km/hr and 36 km/hr respectively  Find the time taken by the faster train to cross the driver of the slower one?,a. 6 min,b. 12 min,c. 18 min,d. 4 min,d,a,Wrong
261,The quantity of Mango at Shop B is what percentage of the quantity of Mango at shop A?,a. 20%,b. 120%,c. 84%,d. 150%,c,c,Right
262,"In the given question, select the correct alternative: Monotony : Variety : : Crudeness : ?",a. Sobriety,b. Simplicity,c. Raw,d. Refinement,d,c,Wrong
263,"If B is 20 metres south from A and C is 10 metres north from D and A is 10 metres west from D, then where is B from C?",a. North – East,b. North – West,c. South – West,d. North,c,b,Wrong
264,Amit ranked 16th from the top and 29th from the bottom among those who passed the examination  6 students did not participate and 5 failed in it  How many students were there in the class?,a. 50,b. 55,c. 44,d. 52,b,c,Wrong
265,"A and B are brothers, D is the brother of E, C is the father of A, E is the daughter of B, then who is the uncle of D?",a. A,b. B,c. C,d. D,a,c,Wrong
266,"In the number 59164823, how many digits will be as far away from the beginning of the number if digits are arranged in descending order as they are in the number?",a. 3,b. more than 3,c. 1,d. 2,d,b,Wrong
267,"How many such pairs of letters are there in the word EDUCATION, each of which has as many letters between them in the word, as they have in the English alphabet?",a. more than 3,b. 1,c. 2,d. 3,a,c,Wrong
268,Three of the following four pairs are alike in a certain way based on their positions and so formed a group  Which of the following does not belong to the group?,a. AF,b. JH,c. EA,d. FH,d,b,Wrong
269,What is the position of F with respect to H?,a. Second to the right,b. Exactly right,c. Second to the left,d. Third to the right,c,c,Right
270,Complete the series from given options a_caa_bcc_aabbb_cc,a. bbca,b. abca,c. bbac,d. babc,c,c,Right
271,How many cubes have two of their surfaces coloured with black on the opposite surfaces?,a. 4,b. 2,c. 0,d. 8,c,b,Wrong
272,"In a row of 40 children, A is 13th from the left end and B is 9th from the right end  How many children are there between A and C, if C is 4th to the left of B?",a. 12,b. 13,c. 14,d. 15,c,c,Right
273,How many times are the hands of a clock at right angles in 12 hours?,a. 24 times,b. 48 times,c. 22 times,d. 44 times,c,c,Right
274,A water pump lifts water from a level 10 m below the ground  The water is pumped at the rate of 30 kg/min with negligible velocity  Calculate the minimum power the pump should have to do this work,a. 49 J/s,b. 490 J/s,c. 500 J/s,d. 48 J/s,a,a,Right
275,"A particle of mass 0 3 kg is subjected to a force F = Kx with K = 15 N/m, what will be its acceleration if it is released from a point x = 20 cm",a. 1 m/s²,b. 10 m/s²,c. 100 m/s²,d. 0.1 m/s²,b,d,Wrong
276,2 points A and B are at electric potentials 10 V and 100 V respectively  A charge q is taken from A to B and 18 Joule of work is done  The value of q is,a. 2 Coulomb,b. 0.2 Coulomb,c. 20 Coulomb,d. 0.02 Coulomb,b,b,Right
277,A car moving along a straight line covers 1/5th of total distance with speed v1 and remaining part of the distance with speed v2  The average speed of the car over the entire distance is,a. 5v₁v₂/(4v₁+v₂),b. 4v₁v₂/(5v₁+v₂),c. 5v₁v₂/(v₁+4v₂),d. 4v₁v₂/(4v₁+v₂),a,a,Right
278,Light travels through a glass slab of thickness t and having refractive index n  If c is the velocity of light in vacuum then the time taken by light to travel this thickness of glass is,a. t/nc,b. nt/c,c. n²t/c,d. t/n²c,b,a,Wrong
279,"Three particles A, B and C are thrown from top of a building with the same speed  A is thrown upwards, B is thrown downwards and C is thrown horizontally, they hit the ground with speed VA, VB and VC respectively then",a. VA = VB = VC,b. VB > VC > VA,c. VA = VB > VC,d. VA > VB = VC,a,a,Right
280,"An object of height 2 0 cm is placed on the principal axis of a concave mirror at a distance of 12 cm from the pole  If the image is inverted, real and 5 cm in height then location of the image and focal length of the mirror respectively are","a. (–30 cm, +8.6 cm)","b. (–30 cm, –8.6 cm)","c. (+30 cm, +8.6 cm)","d. (+30 cm, –8.6 cm)",b,a,Wrong
281,"When a solution of lead(II) nitrate and potassium iodide are mixed, the yellow ppt is formed, the ppt is of________",a. KNO3,b. KCl,c. PbI2,d. PbI4,c,c,Right
282,Baking powder is a mixture of __________,a. Sodium hydrogen carbonate and oxalic acid,b. Sodium carbonate and tartaric acid,c. Sodium hydrogen carbonate and tartaric acid,d. Sodium carbonate and oxalic acid,c,c,Right
283,Aqua Regia is a mixture of concentrated hydrochloric acid and concentrated nitric acid in the ratio of ___________,a. 3:1,b. 2:1,c. 1:5,d. 2:3,a,b,Wrong
284,Denatured alcohol is a mixture of,a. CH3OH and HCHO,b. CH3OH and CH3COOH,c. C2H5OH and CH3OH,d. C2H5OH and CH3COOH,c,c,Right
285,"For welding, a mixture of oxygen and ______ is burnt",a. Benzene,b. Butane,c. Methane,d. Ethyne,d,d,Right
286,The following metals are arranged in the increasing order of their metallic character  Choose the correct option,a. Be < Si < K < Al,b. Si < Be < Al < K,c. K < Al < Si < Be,d. Be < Si < Al < K,b,d,Wrong
287,Which one of the following oxide is insoluble in water?,a. Na2O,b. CuO,c. K2O,d. CaO,b,b,Right
288,Which of the following oxide turns red litmus into blue?,a. SO2,b. CO2,c. NO2,d. KO2,d,c,Wrong
289,Which one of the following causes rainfall during winters in the north-west region of India?,a. Cyclonic depression,b. Western disturbances,c. Retreating monsoon,d. Southwest monsoon,b,b,Right
290,Which of the following elements does not show allotropy?,a. Phosphorus,b. Sulphur,c. Oxygen,d. Aluminium,d,d,Right
291,Which one of the following will have the largest number of atoms?,a. 100 g of He,b. 100 g of Na,c. 100 g of Li,d. 100 g of Al,a,b,Wrong
292,"UV rays cause cancer but in the stratosphere, the same UV rays are helping us, how?",a. They divert harmful UV rays back to sun,b. They convert oxygen in the stratosphere into ozone,c. UV rays are not present in the stratosphere.,d. UV rays reach the earth surface then bounce back carrying ozone to the stratosphere,b,b,Right
293,The opening and closing of the stomata depends upon:-,a. Oxygen,b. Temperature,c. Carbon dioxide,d. Water in guard cells,d,d,Right
294,Which of the following is a barrier method of contraception?,a. Diaphragm,b. Contraceptive pills,c. Tubectomy,d. All of the above,a,d,Wrong
295,Sperms are produced in the:-,a. Seminiferous tubules,b. Interstitial cell,c. Vas deferens,d. Prostate gland,a,a,Right
296,Blood pressure is measured by an instrument called:-,a. Barometer,b. Sphygmomanometer,c. Photometer,d. Manometer,b,b,Right
297,The sum of the n consecutive odd natural numbers starting from 5 is 60  Find the value of (n2 – n),a. 20,b. 30,c. 42,d. 56,b,c,Wrong
298,The sum of the first ‘p’ odd natural numbers is 100 and the sum of the first ‘q’ even natural numbers is 90  Find the value of (p + q),a. 18,b. 19,c. 20,d. 21,b,c,Wrong
299,"If x + 1/y = 1 and y + 1/z = 1, then what is the value of (z + 1/x + 1)",a. 0,b. 1,c. 2,d. 3,c,c,Right
300,If \(\begin{array}{l}\sqrt[3]{p} + \sqrt[3]{q} + \sqrt[3]{r} = 0\end{array} \) then the value of (p+q+r)3 is,a. 3pqr,b. 9pqr,c. 27pqr,d. 0,c,d,Wrong
301,"If cos2 θ + 2 sin2 θ + 3 cos2 θ + 4 sin2 θ + … +200 sin2 θ = 10050, where is an acute angle, find the value of (sin θ +3cos θ)2",a. 8,b. 4,c. 2,d. 1,a,c,Wrong
302,A ‘p’ m long wire is cut into two pieces one of which is bent into a circle and the other into a square enclosing the circle  What is the radius (in meter) of the circle?,a. \(\begin{array}{l}\frac{p}{\pi + 4}\end{array} \),b. \(\begin{array}{l}\frac{2p}{\pi + 4}\end{array} \),c. \(\begin{array}{l}\frac{p}{2\pi + 8}\end{array} \),d. \(\begin{array}{l}\frac{p}{2p\pi + 4}\end{array} \),c,a,Wrong
303,"In the figure, ABCD is a rectangle such that Area of ∆AOB = a m2, Area of ∆AOD = b m2 Area of ∆COD = c m2   Then the area of ∆BOC = (in m2)",a. a+b+c,b. a+b-c,c. b+c-a,d. a+c-b,d,a,Wrong
304,"If α, β and γ are the zeroes of a cubic polynomial ax3 + bx2 + cx + d = 0, then the value of α + β + γ will be",a. b / a,b. -b / a,c. c / a,d. -c / a,b,a,Wrong
305,"The average age of all the 100 employees in an office is 29 years, where ⅔ employees are ladies  The ratio of the average age of men to women is 5 : 7  The average age of female employees is:",a. 18 years,b. 35 years,c. 25 years,d. None of these,b,c,Wrong
306,"As a result of a 40% hike in the price of rice per kg , a person is able to purchase 10 kg less rice for Rs 1400  What was the original price of rice per kg?",a. Rs.50,b. Rs.60,c. Rs.40,d. Rs.30,c,c,Right
307,A man takes half time in rowing a certain distance downstream than upstream  What is the ratio of the speed of the boat in still water to the speed of the current?,a. 1 : 2,b. 2 : 1,c. 1 : 3,d. 3 : 1,d,1 : 3,Wrong
308,"One box contains four cards numbered 1, 3, 5 and 7 and another box contains four cards numbered as 2, 4, 6 and 8  One card is drawn from each box at random  The probability that the product of the numbers so drawn is more than 14 is:",a. ½,b. 7/10,c. 3/8,d. 5/8,a,d,Wrong
309,Who was the ruler of France during the French revolution?,a. Louis XV,b. Louis XIV,c. Louis XX,d. Louis XVI,d,d,Right
310,Hitler was born in,a. France,b. Austria,c. Germany,d. Poland,b,c,Wrong
311,Who published ‘The folklores of southern India’?,a. Rabindra Nath Tagore,b. Natesa Sastri,c. Mahatma Gandhi,d. Pattabhi Srimalu,b,b,Right
312,"A tax levied by the church, comprising one-tenth of the agricultural produce was",a. Livre,b. Taille,c. Tithe,d. None of these,c,c,Right
313,What was not the aim of the Swaraj Party?,a. To participate in Provincial council elections.,b. To oppose British policies within the councils.,c. To demonstrate that councils were not democratic,d. To make the Act of 1919 successful.,d,d,Right
314,Who formed the secret society “young Italy”?,a. Otto Van Bismarck,b. General Wan Run,c. Giuseppe Mazzini,d. King Victor Emmanual II,c,c,Right
315,"Which was achieved by the “Enabling Act of 3 March, 1933 in Germany?",a. Established dictatorship,b. Hitler was appointed chancellor,c. Establishment of German workers Party,d. Establishment of Weimar Republic,a,b,Wrong
316,Which of the following was not related to Gandhi Irwin Pact 1931?,a. Government agreed to release the Political prisoners.,b. Gandhi Ji consented to participate in the second Round Table Conference.,c. Formation of the Simon Commission.,d. Gandhi Ji called off the Civil Disobedience Movement.,c,c,Right
317,"In Swaraj Flag (1921), Self Help was represented by",a. Flower,b. Crescent Moon,c. Two Ox,d. Spinning wheel,d,d,Right
318,Coffee cultivation was first introduced in,a. Himalayas,b. Aravali Hills,c. Garo Hills,d. Baba Budan Hills,o,d,Wrong
319,Which one of the following groups of state has the largest number of cotton textile centres?,a. Gujarat and Maharashtra,b. Karnataka and Tamil Nadu,c. Maharashtra and Madhya Pradesh,d. Uttar Pradesh and Gujarat,a,a,Right
320,Neyveli lignite mines are located in the state of,a. Kerala,b. Tamil Nadu,c. Karnataka,d. Andhra Pradesh,b,b,Right
321,Which of the following regions is suitable for constructing railway lines?,a. Himalaya Mountains Range,"b. Garo, Khasi and Jaintia Hills",c. The northern Plains,d. Rajasthan desert,c,c,Right
322,Hirakud Dam is constructed on the river –,a. Ganga,b. Manjira,c. Manas,d. Mahanadi,d,d,Right
323,When and where was the first cement plant set up?,"a. Chennai, 1905","b. Chennai, 1904","c. Kolkata, 1905","d. Kolkata, 1904",b,b,Right
324,Who wrote the book “Small is Beautiful”?,a. Gandhi Ji,b. Brundtland,c. Schumacher,d. Annie Besant,c,c,Right
325,In which city of Haryana is the automobile industry situated?,a. Faridabad,b. Gurgaon,c. Panipat,d. Sonipat,b,a,Wrong
326,"According to the main role, industry can be divided into",a. Agro-based and mineral-based,b. Key and consumer industries,"c. Public, private, and Joint sector",d. Heavy and light industries,b,d,Wrong
327,Which of the following is not a property of Mica?,a. Conducting properties,b. Excellent dielectric strength,c. Less power loss factor,d. Resistance to high voltage,a,c,Wrong
328,Who was the chairman of the drafting committee of Indian Constituent Assembly?,a. Dr. Rajendra Prasad,b. Dr. B.R. Verma,c. Dr. B.R. Menon,d. Dr. B.R. Ambedkar,d,d,Right
329,The movement that seeks equality in the personal and family life of women is known as –,a. Narivadi Andolan,b. Nari Sashaktikaran Andolan,c. Mahila Shakti Andolan,d. Mahila Adhikar Andolan,a,b,Wrong
330,"A person who is not a member of Parliament is appointed as minister, he/she has to get elected to one of the houses of Parliament within:",a. A month,b. Three months,c. Six months,d. Selected time is fixed by the President,c,c. Six months,Wrong
331,Who becomes the members of Gram Sabha?,a. Only elderly people,b. Only elected members of Gram Panchayat,c. All the voters of the village,d. Only the youth of the village,c,c,Right
332,"In India, seats are reserved for women in which of the following bodies:-",a. In Lok Sabha,b. In State Legislatures,c. In Rajya Sabha,d. In Panchayati Raj,d,d,Right
333,Which famous Revolution took place in world history in 1789 –,a. Russian Revolution,b. American Revolution,c. German Revolution,d. French Revolution,d,d,Right
334,Main Recommendation of Mandal Commission was:,a. Reservation for Socially and Educationally Backward Classes.,b. Reservation for schedule caste.,c. Reservation for schedule Tribes.,d. Reservation for Minorities.,a,a,Right
335,Capital requirement of “NABARD” (National Bank of Agriculture and Rural Development) are met by which of the following institution –,a. Reserve Bank of India,b. International Development Association (IDA),c. World Bank,d. All of the above,d,d,Right
336,Which of the following is not a renewable resource?,a. Forest,b. Animals,c. Water,d. Petroleum,d,d,Right
337,When an able person is willingly unemployed while there is an opportunity to work is known as,a. Disguised unemployment,b. Voluntary unemployment,c. Seasonal unemployment,d. Educated unemployment,b,b,Right
338,The production unit producing shoe comes under,a. Primary sector,b. Secondary sector,c. Tertiary sector,d. None of the above,b,b,Right
339,Which of the following prepares the Human Development Report?,a. Planning Commission of India,b. International Monetary Fund,c. World Health Organisation,d. United Nation Development Programme,d,d,Right
340,SWZ : XTA : : DGM : ?,a. JEO,b. IDN,c. HCM,d. NDI,b,c,Wrong
341,Centimeter : Meter : : Paise : ?,a. Rupee,b. Coin,c. Wealth,d. Currency,a,a,Right
342,TPNX : XNP : : BUCW : ?,a. WUC,b. CUW,c. WCU,d. COW,c,b,Wrong
343,EIGHTY : GIEYTH : : OUTPUT : ?,a. UTOPTU,b. VOTUPT,c. TUOUTP,d. TUOTUP,d,b,Wrong
344,"17, 19, 23, 29, ?, 37",a. 33,b. 36,c. 31,d. 35,c,c,Right
345,"31, 34, 71, 216, 867, 4338, ?",a. 26028,b. 26031,c. 21690,d. 23150,b,a,Wrong
346,"AZY, BYX, CXW, DWV, ?",a. EVA,b. EVU,c. VEU,d. VUE,b,d,Wrong
347,Find the odd Item,a. L,b. Y,c. T,d. V,a,d,Wrong
348,Name the boy whose performance has been low in all the subjects?,a. Rohit,b. Kunal,c. Ashish,d. John,d,d,Right
349,Who are the two boys good at Hindi?,a. Rohit and Kunal,b. Kunal and Ashish,c. Ashish and John,d. John and Rohit,b,a,Wrong
350,Who are the two boys good at Mathematics?,a. Rohit and Ashish,b. Kunal and Ashish,c. John and Ashish,d. Rohit and John,a,a,Right
